fold;original_index;true_value;predicted_value;error;absolute_error;squared_error;Width;Height;Density;Growth-ring width;Test span;Dynamic E
90;89;83,18;84,45541579836902;-1,2754157983690106;1,2754157983690106;1,6266854587292607;100,84;39,52;496,84;1,79;1120,0;13614,0
26;25;107,74;106,60898559236948;1,1310144076305164;1,1310144076305164;1,279193590267808;15,26;5,82;549,49;1,03;168,0;19084,85
10;9;94,63;95,71013996567206;-1,0801399656720605;1,0801399656720605;1,16670234544204;15,06;6,05;496,9;1,7;168,0;15875,67
63;62;82,61;83,57728618402328;-0,9672861840232798;0,9672861840232798;0,9356425618023183;50,0;20,0;439,93;1,8;560,0;12009,0
23;22;92,26;91,41750182366134;0,8424981763386654;0,8424981763386654;0,709803177133977;14,97;6,19;481,59;1,31;168,0;10995,04
7;6;76,05;76,8521066660676;-0,8021066660676013;0,8021066660676013;0,6433751037500824;15,62;5,97;429,36;1,94;168,0;10444,71
77;76;91,21;90,49652918511667;0,7134708148833226;0,7134708148833226;0,5090406036902725;100,57;40,09;497,6;1,76;1120,0;14951,0
55;54;100,17;99,51803217107904;0,6519678289209594;0,6519678289209594;0,42506204994790936;50,0;20,0;517,97;0,95;560,0;14134,0
61;60;87,15;86,53742213007894;0,6125778699210684;0,6125778699210684;0,3752516467170334;50,0;20,0;454,33;1,62;560,0;12349,0
14;13;98,92;98,60118099522585;0,3188190047741557;0,3188190047741557;0,10164555780518311;14,86;6,0;502,75;1,3;168,0;15324,74
43;42;70,27;70,51236051431869;-0,24236051431869043;0,24236051431869043;0,058738618900820154;14,89;6,09;417,9;3,04;168,0;6991,54
57;56;95,38;95,3288654221934;0,05113457780659303;0,05113457780659303;0,002614745047458516;50,0;20,0;513,31;1,64;560,0;13995,0
