fold;model;bias;Width;Height;Density;Growth-ring width;Test span;Dynamic E;dataset
43;physics;90,94571428571426;-60,95899793839826;31,688578125950016;5,232238889520289;-3,259549646387805;26,840100588378238;2,764500837588125;original
44;physics;90,83377551020406;-60,937951654892544;31,70353206696684;5,358316843180094;-3,1361272127986735;26,78994654125878;2,8522607010149965;original
45;physics;90,6409183673469;-60,29071631864997;30,56748373014463;5,2053830166392405;-3,427576882109305;27,331935911326283;2,8233474959473206;original
46;physics;90,58530612244897;-61,0571715858905;31,804614163518142;5,253399356180906;-3,3084884602454436;26,816450872090407;2,8465217644480894;original
47;physics;90,96979591836732;-61,50349715393516;32,115335675038466;5,0568022423121795;-3,1103052468844727;26,99393933848841;3,0441447572871687;original
48;physics;90,90030612244897;-61,24479121601372;31,922689946141737;5,196741064415033;-3,223433054137081;26,90123399270924;2,9422647608879653;original
49;physics;90,8642857142857;-61,36518762086616;31,85460110753541;5,183984064286896;-3,3254663575294954;27,080829715961723;2,9142914334849537;original
50;physics;90,85877551020405;-61,26276350634492;31,822061062482913;5,194748235082027;-3,321489505591755;27,01016590502936;2,9116175151508834;original
51;physics;90,89479591836734;-61,14745087132258;31,849143090295865;5,207683537828461;-3,2447289395121395;26,87274345233246;2,923595709264403;original
52;physics;90,69979591836733;-59,75255187669943;31,265115892670558;5,384052821745054;-3,260294679820328;26,047448260921204;2,8654199693712346;original
53;physics;90,87418367346937;-61,35540377581575;31,767081494279054;5,1329692332432835;-3,352960764191106;27,15685424722767;2,9170741122728003;original
54;physics;90,82571428571427;-61,31046464403409;31,819342182975255;5,225903770345055;-3,344386999489669;27,05510877175779;2,890536006467565;original
55;physics;90,64061224489795;-60,46354710916184;31,491629180614236;5,274731737458524;-3,253562534766129;26,541217062497022;2,9172199659676026;original
56;physics;90,6538775510204;-59,18871515740026;30,831270329679093;5,3293457460916045;-3,2859063488386924;25,917151012794353;2,8926151607974395;original
57;physics;90,68948979591835;-60,604343613904945;31,521912183513866;5,288097035909824;-3,3149912786722595;26,64554175504287;2,893056711852826;original
58;physics;90,71306122448978;-59,70918518370822;31,104334144453404;5,377501735382179;-3,3242921990107686;26,154135025241832;2,8338052665252076;original
59;physics;90,54418367346938;-59,85515520878213;31,099372262299553;5,111143108073442;-3,2269250267035976;26,335648276865818;2,9800669479898536;original
60;physics;90,77214285714284;-61,92030720181223;32,05656791041877;5,2985309218614365;-3,4031361703733243;27,411429414942702;2,821227363983542;original
61;physics;90,77346938775509;-60,69681183990845;31,621632388359153;5,300232597825329;-3,307203246551692;26,637108867296515;2,875815064775203;original
62;physics;90,6423469387755;-58,950840618059445;30,61353617342321;5,3070854687187135;-3,315582694543439;25,89291773675394;2,8883183012213363;original
63;physics;90,81979591836733;-60,91230353406041;31,690153209760776;5,256610461205352;-3,3220858190277096;26,784766370803894;2,8786580092187184;original
64;physics;90,57714285714285;-58,52586453169944;30,467621315062907;5,192736210873132;-3,2003384000588193;25,64126695015686;3,010792075023578;original
65;physics;90,61357142857142;-58,85886407038061;30,530737173655794;5,2143461343085775;-3,2923405700471022;25,895820672808185;2,956279728636612;original
66;physics;90,5942857142857;-59,61604844678586;31,044484913468203;5,200540475384312;-3,2110346639655605;26,15242652039618;2,982595279132156;original
67;physics;90,62520408163263;-60,118384430277374;31,272819174730788;5,238945182897964;-3,2679975653366258;26,41641269119333;2,9335971964614282;original
68;physics;90,87418367346937;-61,0581415987765;31,766754428013318;5,21872652107849;-3,2922507807858277;26,859842550861128;2,900563253233469;original
69;physics;90,73959183673468;-61,40580109609186;31,97814723213519;5,319789506576117;-3,325652850643567;26,989274389382274;2,8680490343566283;original
70;physics;90,57551020408162;-58,04375213241112;29,999209279843825;5,15645388088007;-3,303506523448531;25,61222403343723;2,982112953162861;original
71;physics;90,61357142857142;-58,600304557561316;30,26667144349303;5,199732101509531;-3,347946240529472;25,891663356011005;2,9323924993072814;original
72;physics;90,61408163265304;-59,30535898190645;30,852725902118532;5,224641655041705;-3,246038325851894;26,02772439994952;2,9662925908962503;original
73;physics;90,86642857142854;-61,19404260116788;31,86572843397083;5,232055088423563;-3,271584321257464;26,900503088739537;2,91544522016058;original
74;physics;90,71969387755101;-61,826844723285184;31,30666674156579;5,3809632750452066;-3,365656693461209;28,028732541841475;2,764551097086225;original
75;physics;90,7338775510204;-60,59356126143421;31,231769958658326;5,198630504687794;-3,399796794559796;26,79168575587009;2,9856222530734446;original
76;physics;90,80571428571427;-62,743022132250665;31,95543392667066;5,273526669947174;-3,286431318018146;28,444367619659886;2,945357945313767;original
77;physics;90,73204081632652;-60,737909600961046;31,352652499026526;5,335115796697411;-3,333266597021889;26,930688580545798;2,8370038339509414;original
78;physics;90,81316326530612;-58,59271566344863;30,373106660065016;5,439946477688744;-3,3939838067075128;25,636854490422202;2,7347400552226784;original
79;physics;90,99989795918366;-63,76608290043492;33,437817988888575;5,107530755220764;-3,248080360767778;27,98297573576339;2,8708334837274516;original
80;physics;90,70622448979591;-60,00863330886891;31,45349471950653;5,313560395981037;-3,3378605423594516;25,990680422281272;2,8956818251433014;original
81;physics;90,75459183673469;-61,353331278876794;31,90245168693333;5,299260190086904;-3,3090530893861874;27,038753219348507;2,8850238719564874;original
82;physics;90,75877551020407;-62,71282315480795;32,80096030011722;5,364966636862397;-3,3672569963265517;27,43369113011378;2,805915120960495;original
83;physics;90,84030612244896;-56,774306266346535;27,95915762638969;5,261803785220557;-3,3077028220677747;26,5319580191632;2,9156827295745167;original
84;physics;90,7492857142857;-61,37884831835664;31,87375137873278;5,352306711309828;-3,3444450300041417;27,157102592807238;2,8311508572576236;original
85;physics;90,57153061224489;-60,99800930819403;31,757712081152096;5,146014782066725;-3,2975774123350616;26,859549759824297;2,844453357417735;original
86;physics;90,78999999999999;-61,26700380524377;31,971160809408357;5,329635454793827;-3,3331005439947066;26,91225097510362;2,8441740281787857;original
87;physics;90,78785714285712;-61,98304092482391;31,73486479079778;5,3680401956620765;-3,3776516127280196;27,738305434891103;2,806531878737035;original
88;physics;90,81734693877549;-61,197433745284194;31,88032015208026;5,306713401291956;-3,3003602888668357;26,931785415481116;2,8889395055145237;original
89;physics;90,76540816326529;-64,48305831879713;34,41052865407849;5,287998647836676;-3,35358622418153;27,590689853404275;2,9187784560130017;original
90;physics;90,81397959183671;-60,1113509350443;30,84181100289172;5,291281713412175;-3,315258223764811;26,923590627978513;2,894935585146533;original
