fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
25;25;24;107,74;105,94823635260087;23,419143013895212;1,7917636473991223;1,7917636473991223;3,2104169681410064;1,7917636473991223;82,52909333870566;6811,051247308792;48,03645622266734;63,416017599563375;34,74583788108083;7167,544929620636;15,26;5,82;549,49;1,03;168,0;19084,85
29;30;28;101,48;103,26858509403242;140,29635388587525;-1,7885850940324133;1,7885850940324133;3,1990366385949365;1,7885850940324133;-37,02776879184283;1371,05566170217;297,2393611975482;51,6011527012387;34,733804584628;4216,837029152675;14,98;5,97;535,16;1,45;168,0;17419,49
58;60;57;87,15;85,55512365861519;3,6662034860755273;1,5948763413848184;1,5948763413848184;2,543630544309024;1,5948763413848184;81,88892017253966;6705,795247024572;87,29055919227446;51,561816770116096;34,76752140401741;4198,573841524672;50,0;20,0;454,33;1,62;560,0;12349,0
64;66;63;101,68;100,09532625534573;12,906783473200619;1,5846737446542818;1,5846737446542818;2,511190876996624;1,5846737446542818;87,1885427821451;7601,841992473947;307,30436840953854;51,61100922054263;34,76910090414712;4210,477079098877;50,0;20,0;529,28;1,22;560,0;14446,0
80;82;79;80,6;82,12996671685941;0,9382971604561658;-1,5299667168594198;1,5299667168594198;2,340798154697592;1,5299667168594198;81,19166955640326;6592,087205356179;86,6342098981844;51,53815173386981;34,73671327788682;4200,359613995747;101,1;39,17;501,92;1,78;1120,0;14118,0
87;89;86;83,18;84,45452414788377;3,064138907837045;-1,274524147883767;1,274524147883767;1,6244118035388424;1,274524147883767;81,39038524004673;6624,394809523216;287,2538621767732;50,94322573294109;34,72427857702799;4054,7367889782736;100,84;39,52;496,84;1,79;1120,0;13614,0
13;13;12;98,92;97,71426139884194;123,53484300730538;1,2057386011580604;1,2057386011580604;1,4538055743225964;1,2057386011580604;-25,820581608463442;666,7024345993206;262,246823869794;54,72098392836344;34,7601260006304;4990,21448193326;14,86;6,0;502,75;1,3;168,0;15324,74
2;1;1;81,64;82,66889730410703;12,531369329022091;-1,0288973041070335;1,0288973041070335;1,0586296623987215;1,0288973041070335;70,13752797508494;4919,272830455822;27,78383599806041;54,570737430714615;34,786078387879755;4946,164760708715;15,52;6,0;451,31;1,69;168,0;12021,06
10;10;9;103,27;104,27936149391323;134,6620850624746;-1,0093614939132323;1,0093614939132323;1,018810625394752;1,0093614939132323;-30,382723568561374;923,1098914436149;266,00312523316484;54,58641512336058;34,75374602006367;4958,167275824226;14,9;5,78;524,88;0,73;168,0;18214,39
22;22;21;92,26;91,268144207655;84,81317907910297;0,9918557923450066;0,9918557923450066;0,9837779128083409;0,9918557923450066;6,454965128552033;41,66657481082276;193,04826371494;57,116920211496335;34,75775689182504;5589,790829917824;14,97;6,19;481,59;1,31;168,0;10995,04
