fold;original_index;current_index;true_value;predicted_value;error;absolute_error;squared_error;rmse;Width;Height;Density;Growth-ring width;Test span;Dynamic E
43;45;42;105,59;108,92245747457167;-3,332457474571669;3,332457474571669;11,105272819828585;3,332457474571669;49,93;19,99;558,76;1,31;560,0;18579,96
48;50;47;75,26;78,43234074294892;-3,1723407429489185;3,1723407429489185;10,063745789373696;3,1723407429489185;50,0;20,0;437,17;2,82;560,0;11944,0
27;27;26;103,09;106,24453541560374;-3,154535415603732;3,154535415603732;9,95109368829821;3,154535415603732;15,01;6,16;541,73;1,31;168,0;17255,49
42;44;41;100,14;97,01941124540953;3,1205887545904716;3,1205887545904716;9,73807417527651;3,1205887545904716;15,05;6,12;538,15;2,81;168,0;15429,13
33;34;32;116,7;119,36908886212973;-2,669088862129726;2,669088862129726;7,124035353944956;2,669088862129726;14,94;5,39;630,97;1,66;168,0;24145,24
19;19;18;99,18;101,73904342319165;-2,559043423191639;2,559043423191639;6,548703241780382;2,559043423191639;14,95;5,96;514,48;0,96;168,0;16695,87
78;80;77;89,0;91,53679254289031;-2,5367925428903106;2,5367925428903106;6,4353164056638885;2,5367925428903106;100,4;40,02;486,21;1,14;1120,0;13331,0
17;17;16;91,08;88,65349395105017;2,4265060489498325;2,4265060489498325;5,8879316055901265;2,4265060489498325;14,97;6,08;464,23;2,09;168,0;14759,68
82;84;81;106,94;109,24955752423523;-2,309557524235231;2,309557524235231;5,33405595775157;2,309557524235231;101,35;39,82;615,31;1,06;1120,0;17797,0
21;21;20;90,23;88,00911434045818;2,220885659541821;2,220885659541821;4,93233311275851;2,220885659541821;14,96;6,08;481,05;2,2;168,0;11923,5
32;33;31;110,07;107,95299522264773;2,117004777352264;2,117004777352264;4,481709227332309;2,117004777352264;14,74;5,99;570,27;1,47;168,0;15802,14
65;67;64;77,28;79,30388918126548;-2,0238891812654742;2,0238891812654742;4,096127418043432;2,0238891812654742;50,0;20,0;434,83;2,45;560,0;11808,0
29;30;28;101,48;103,44141867229033;-1,9614186722903213;1,9614186722903213;3,847163208009127;1,9614186722903213;14,98;5,97;535,16;1,45;168,0;17419,49
80;82;79;80,6;82,48766091883944;-1,887660918839444;1,887660918839444;3,563263744513774;1,887660918839444;101,1;39,17;501,92;1,78;1120,0;14118,0
87;89;86;83,18;84,80989572408869;-1,6298957240886836;1,6298957240886836;2,656560071402574;1,6298957240886836;100,84;39,52;496,84;1,79;1120,0;13614,0
25;25;24;107,74;106,13579717394826;1,6042028260517327;1,6042028260517327;2,573466707112366;1,6042028260517327;15,26;5,82;549,49;1,03;168,0;19084,85
58;60;57;87,15;85,80855845048453;1,34144154951548;1,34144154951548;1,7994654307664917;1,34144154951548;50,0;20,0;454,33;1,62;560,0;12349,0
64;66;63;101,68;100,38015712200391;1,2998428779960989;1,2998428779960989;1,6895915074771812;1,2998428779960989;50,0;20,0;529,28;1,22;560,0;14446,0
93;97;92;99,94;101,18667153404981;-1,2466715340498098;1,2466715340498098;1,554189913810106;1,2466715340498098;100,82;40,34;538,61;1,32;1120,0;15539,0
10;10;9;103,27;104,4353491220136;-1,165349122013609;1,165349122013609;1,3580385761778893;1,165349122013609;14,9;5,78;524,88;0,73;168,0;18214,39
2;1;1;81,64;82,68122600399326;-1,041226003993259;1,041226003993259;1,0841515913917703;1,041226003993259;15,52;6,0;451,31;1,69;168,0;12021,06
13;13;12;98,92;97,91949591953617;1,000504080463827;1,000504080463827;1,001008415024768;1,000504080463827;14,86;6,0;502,75;1,3;168,0;15324,74
40;42;39;70,27;71,234881589098;-0,9648815890979989;0,9648815890979989;0,9309964809802797;0,9648815890979989;14,89;6,09;417,9;3,04;168,0;6991,54
9;9;8;94,63;95,5701214101639;-0,9401214101639113;0,9401214101639113;0,8838282658485811;0,9401214101639113;15,06;6,05;496,9;1,7;168,0;15875,67
74;76;73;91,21;92,0167610098238;-0,806761009823802;0,806761009823802;0,6508633269719208;0,806761009823802;100,57;40,09;497,6;1,76;1120,0;14951,0
22;22;21;92,26;91,49066199228584;0,7693380077141683;0,7693380077141683;0,5918809701136056;0,7693380077141683;14,97;6,19;481,59;1,31;168,0;10995,04
52;54;51;100,17;99,49369347540087;0,6763065245991271;0,6763065245991271;0,45739051521534974;0,6763065245991271;50,0;20,0;517,97;0,95;560,0;14134,0
54;56;53;95,38;96,02128896055805;-0,6412889605580574;0,6412889605580574;0,4112515309336337;0,6412889605580574;50,0;20,0;513,31;1,64;560,0;13995,0
56;58;55;109,62;109,15385707868859;0,4661429213114161;0,4661429213114161;0,21728922308874107;0,4661429213114161;50,0;20,0;572,88;0,88;560,0;15530,0
88;91;87;88,29;88,03969144501247;0,2503085549875408;0,2503085549875408;0,06265437269995074;0,2503085549875408;101,18;39,97;493,74;1,22;1120,0;13257,0
6;6;5;76,05;76,20807224437705;-0,15807224437705258;0,15807224437705258;0,02498683444239863;0,15807224437705258;15,62;5,97;429,36;1,94;168,0;10444,71
60;62;59;82,61;82,71078956087095;-0,10078956087095037;0,10078956087095037;0,010158535580559009;0,10078956087095037;50,0;20,0;439,93;1,8;560,0;12009,0
