fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
58;57;57;93,07;85,97596662535261;2,7150565116957672;7,094033374647381;7,094033374647381;50,32530952061091;7,094033374647381;83,26091011365685;6932,379152954445;64,64420265942303;74,57841903169106;47,3432721081427;6808,786730887089;50,0;20,0;464,39;1,97;560,0;12686,0
78;77;77;83,26;76,23878392771658;1,3539490869391544;7,021216072283423;7,021216072283423;49,29747513369105;7,021216072283423;74,88483484077743;5607,738489130513;129,17963764720426;63,18307760071299;47,412242045162486;3942,708888887625;100,18;40,0;434,43;2,41;1120,0;11224,0
76;75;75;83,99;90,96631280084816;2,917516510263713;-6,976312800848163;6,976312800848163;48,66894029527794;6,976312800848163;88,04879629058445;7752,590528220838;271,9208328392287;66,10803235599445;47,00441398483348;4775,904592790244;99,85;39,6;501,0;1,93;1120,0;14261,0
40;39;39;81,36;74,4065122435011;131,86987644228256;6,953487756498902;6,953487756498902;48,350991979780126;6,953487756498902;-57,46336419878146;3302,0382250417993;290,1289036746757;63,636254428448154;47,300625186323416;4083,907310531184;14,9;6,1;455,26;3,37;168,0;8676,87
96;95;95;97,14;90,21024980339612;1,1125882956775515;6,929750196603877;6,929750196603877;48,021437787331465;6,929750196603877;89,09766150771857;7938,393286143995;106,7154064886717;72,24983014274125;47,18792961169897;6265,475132760569;101,37;39,87;540,21;1,3;1120,0;13764,0
60;59;59;87,28;94,06327440411309;1,4342891235485844;-6,783274404113087;6,783274404113087;46,01281164149575;6,783274404113087;92,6289852805645;8580,128914107036;34,149741036871056;65,79640128015924;47,198893823131705;4649,376864256887;50,0;20,0;487,17;1,11;560,0;13251,0
82;81;81;88,59;81,8452233566014;1,5088866163867771;6,744776643398609;6,744776643398609;45,49201196933541;6,744776643398609;80,33633674021462;6453,927000837158;142,8854130855616;70,93630918927569;47,29089969175615;5911,352374379885;100,99;39,69;491,04;2,11;1120,0;14031,0
74;73;73;92,42;85,90486080458659;0,28444393842250415;6,515139195413411;6,515139195413411;42,44703873561211;6,515139195413411;85,62041686616409;7330,855784335717;27,62916357613198;66,32076887461093;47,24426935716076;4769,1248793625455;101,23;40,15;499,38;1,88;1120,0;15059,81
94;93;93;96,53;102,89387736226966;2,5908742743011635;-6,363877362269662;6,363877362269662;40,498935082008266;6,363877362269662;100,3030030879685;10060,69242846502;241,92745655339078;62,743164228375186;47,368563024626454;3843,650300937183;101,26;39,36;605,26;1,15;1120,0;17923,0
47;46;46;67,91;74,25474402579925;5,638917431399116;-6,344744025799258;6,344744025799258;40,25577675291538;6,344744025799258;68,61582659440013;4708,1316592327885;134,25993884283608;71,43392278429884;47,336786819308884;6024,28399124749;50,0;20,0;421,83;3,16;560,0;11491,0
